LGAcode,LGA,2019ERP,2020ERP,2019-2020no,2019-2020%,Areakm2,pop_density
44000,Maralinga Tjarutja (AC),64,64,0,0.0,102703.9,0.0
57630,Sandstone (S),79,78,-1,-1.3,32605.3,0.0
52380,Cue (S),143,140,-3,-2.1,13582.2,0.0
56160,Murchison (S),162,162,0,0.0,45046.1,0.0
70540,Belyuen (S),175,176,1,0.6,41.4,4.3
56860,Nungarin (S),249,246,-3,-1.2,1166.0,0.2
30450,Barcoo (S),266,263,-3,-1.1,61830.1,0.0
32600,Croydon (S),284,285,1,0.4,29497.9,0.0
58470,Upper Gascoyne (S),285,290,5,1.8,57809.9,0.0
32750,Diamantina (S),291,286,-5,-1.7,94730.5,0.0
59030,Westonia (S),306,305,-1,-0.3,3319.4,0.1
37570,Wujal Wujal (S),312,316,4,1.3,11.8,26.7
31750,Bulloo (S),325,324,-1,-0.3,73723.8,0.0
34830,Mapoon (S),333,339,6,1.8,537.1,0.6
58400,Trayning (S),352,347,-5,-1.4,1651.2,0.2
31950,Burke (S),354,354,0,0.0,39684.1,0.0
59350,Yalgoo (S),356,351,-5,-1.4,27949.5,0.0
58190,Tammin (S),398,393,-5,-1.3,1101.7,0.4
54690,Koorda (S),406,402,-4,-1.0,2832.3,0.1
30900,Boulia (S),423,416,-7,-1.7,60905.7,0.0
58680,Wandering (S),424,424,0,0.0,1903.9,0.2
55530,Mingenew (S),427,418,-9,-2.1,1934.9,0.2
59320,Woodanilling (S),430,430,0,0.0,1128.8,0.4
55810,Mount Magnet (S),454,449,-5,-1.1,13858.1,0.0
59330,Wyalkatchem (S),492,492,0,0.0,1594.5,0.3
55880,Mount Marshall (S),519,512,-7,-1.3,10184.6,0.1
55390,Menzies (S),520,525,5,1.0,124110.9,0.0
74560,Wagait (S),520,524,4,0.8,5.6,92.9
55950,Mukinbudin (S),533,524,-9,-1.7,3426.9,0.2
51470,Carnamah (S),534,527,-7,-1.3,2870.9,0.2
54480,Kent (S),559,559,0,0.0,5624.6,0.1
58260,Three Springs (S),573,561,-12,-2.1,2656.7,0.2
57000,Perenjori (S),580,567,-13,-2.2,8301.4,0.1
53010,Dumbleyung (S),665,674,9,1.4,2539.2,0.3
52940,Dowerin (S),671,668,-3,-0.4,1863.1,0.4
55670,Morawa (S),675,661,-14,-2.1,3510.6,0.2
59250,Wiluna (S),684,684,0,0.0,181297.3,0.0
59100,Wickepin (S),714,727,13,1.8,2040.9,0.4
53080,Dundas (S),715,711,-4,-0.6,92885.0,0.0
54760,Kulin (S),761,775,14,1.8,4718.9,0.2
36150,Quilpie (S),778,774,-4,-0.5,67414.7,0.0
58890,West Arthur (S),780,782,2,0.3,2831.8,0.3
33100,Etheridge (S),793,794,1,0.1,39199.3,0.0
34570,Lockhart River (S),800,810,10,1.3,3575.5,0.2
36300,Richmond (S),810,813,3,0.4,26580.7,0.0
34800,McKinlay (S),818,823,5,0.6,40736.8,0.0
36070,Pormpuraaw (S),845,856,11,1.3,4395.4,0.2
56370,Narembeen (S),846,850,4,0.5,3809.0,0.2
45400,Orroroo-Carrieton (DC),850,844,-6,-0.7,3321.8,0.3
52310,Cuballing (S),850,853,3,0.4,1195.3,0.7
54620,Kondinin (S),858,872,14,1.6,7440.8,0.1
29399,Unincorporated Vic,881,894,13,1.5,283.0,3.2
58540,Victoria Plains (S),914,917,3,0.3,2551.0,0.4
57770,Shark Bay (S),940,960,20,2.1,24201.2,0.0
51120,Bruce Rock (S),941,949,8,0.9,2724.7,0.3
50910,Brookton (S),952,959,7,0.7,1601.2,0.6
52030,Coorow (S),981,961,-20,-2.0,4189.9,0.2
55250,Meekatharra (S),984,969,-15,-1.5,100188.5,0.0
34420,Kowanyama (S),990,1003,13,1.3,2555.3,0.4
57350,Quairading (S),999,988,-11,-1.1,2016.9,0.5
53710,Goomalling (S),1001,991,-10,-1.0,1835.4,0.5
41750,Elliston (DC),1008,1011,3,0.3,6741.9,0.1
59170,Williams (S),1010,1015,5,0.5,2304.7,0.4
62010,Flinders (M) (Tas.),1010,1004,-6,-0.6,1996.6,0.5
37550,Woorabinda (S),1016,995,-21,-2.1,390.6,2.5
19399,Unincorporated NSW,1026,961,-65,-6.3,93214.2,0.0
52240,Cranbrook (S),1057,1044,-13,-1.2,3276.0,0.3
43220,Kimba (DC),1065,1056,-9,-0.8,5697.1,0.2
35670,Napranum (S),1076,1099,23,2.1,2004.4,0.5
43080,Karoonda East Murray (DC),1107,1101,-6,-0.5,4415.8,0.2
51080,Broomehill-Tambellup (S),1108,1088,-20,-1.8,2609.7,0.4
33830,Hope Vale (S),1117,1140,23,2.1,1111.7,1.0
54130,Jerramungup (S),1127,1130,3,0.3,6508.6,0.2
52100,Corrigin (S),1133,1132,-1,-0.1,2681.3,0.4
57140,Pingelly (S),1147,1150,3,0.3,1294.6,0.9
37400,Winton (S),1153,1135,-18,-1.6,53813.5,0.0
59360,Yilgarn (S),1164,1151,-13,-1.1,30428.8,0.0
54410,Kellerberrin (S),1195,1185,-10,-0.8,1915.4,0.6
54970,Laverton (S),1197,1215,18,1.5,179984.6,0.0
53640,Gnowangerup (S),1201,1200,-1,-0.1,4265.0,0.3
35250,Mornington (S),1230,1231,1,0.1,1247.7,1.0
54900,Lake Grace (S),1264,1286,22,1.7,11886.3,0.1
59310,Wongan-Ballidu (S),1288,1288,0,0.0,3365.1,0.4
48640,Wudinna (DC),1300,1307,7,0.5,5075.3,0.3
41960,Franklin Harbour (DC),1304,1304,0,0.0,2755.6,0.5
32330,Cherbourg (S),1331,1335,4,0.3,31.6,42.2
70700,Coomalie (S),1370,1356,-14,-1.0,2056.1,0.7
56300,Nannup (S),1386,1422,36,2.6,3053.9,0.5
52520,Dalwallinu (S),1402,1397,-5,-0.4,7224.4,0.2
30250,Aurukun (S),1418,1370,-48,-3.4,7424.0,0.2
52450,Cunderdin (S),1423,1408,-15,-1.1,1862.4,0.8
46860,Robe (DC),1450,1472,22,1.5,1091.7,1.3
33200,Flinders (S) (Qld),1505,1512,7,0.5,41199.9,0.0
51610,Chapman Valley (S),1513,1540,27,1.8,3981.3,0.4
55040,Leonora (S),1526,1548,22,1.4,31915.1,0.0
32770,Doomadgee (S),1527,1534,7,0.5,1827.7,0.8
57420,Ravensthorpe (S),1559,1566,7,0.4,9841.8,0.2
35800,Paroo (S),1562,1554,-8,-0.5,47612.9,0.0
63410,King Island (M),1610,1612,2,0.1,1095.7,1.5
11200,Brewarrina (A),1611,1553,-58,-3.6,19163.5,0.1
45540,Peterborough (DC),1687,1668,-19,-1.1,3020.1,0.6
41830,Flinders Ranges (DC),1692,1688,-4,-0.2,4070.5,0.4
56930,Peppermint Grove (S),1734,1759,25,1.4,1.1,1647.5
56620,Ngaanyatjarraku (S),1750,1768,18,1.0,159821.7,0.0
50560,Beverley (S),1758,1768,10,0.6,2370.5,0.7
50770,Boyup Brook (S),1763,1771,8,0.5,2826.5,0.6
58610,Wagin (S),1786,1776,-10,-0.6,1946.2,0.9
41190,Cleve (DC),1791,1780,-11,-0.6,5018.8,0.4
50630,Boddington (S),1801,1765,-36,-2.0,1904.5,0.9
41330,Coober Pedy (DC),1834,1820,-14,-0.8,77.7,23.4
11700,Central Darling (A),1839,1829,-10,-0.5,53492.2,0.0
30760,Blackall-Tambo (R),1868,1845,-23,-1.2,30537.2,0.1
54550,Kojonup (S),1939,1912,-27,-1.4,2931.0,0.7
32250,Carpentaria (S),1975,1970,-5,-0.3,64121.0,0.0
47290,Southern Mallee (DC),2081,2089,8,0.4,5702.2,0.4
61010,Central Highlands (M) (Tas.),2130,2166,36,1.7,7982.4,0.3
47490,Streaky Bay (DC),2192,2204,12,0.5,6222.9,0.4
10300,Balranald (A),2338,2306,-32,-1.4,21690.7,0.1
43360,Kingston (DC) (SA),2371,2380,9,0.4,3339.8,0.7
55600,Moora (S),2373,2389,16,0.7,3763.0,0.6
65210,Tasman (M),2414,2479,65,2.7,660.4,3.8
40430,Barunga West (DC),2563,2550,-13,-0.5,1590.4,1.6
40250,Anangu Pitjantjatjara (AC),2572,2590,18,0.7,102353.1,0.0
10950,Bogan (A),2580,2529,-51,-2.0,14599.9,0.2
11150,Bourke (A),2590,2625,35,1.4,41599.5,0.1
35790,Palm Island (S),2671,2684,13,0.5,72.0,37.3
17950,Warren (A),2697,2716,19,0.7,10753.8,0.3
47910,Tumby Bay (DC),2701,2733,32,1.2,2669.1,1.0
74050,Tiwi Islands (R),2743,2743,0,0.0,7483.2,0.4
11600,Carrathool (A),2798,2796,-2,-0.1,18934.5,0.1
30410,Barcaldine (R),2848,2814,-34,-1.2,53382.7,0.1
53360,Exmouth (S),2872,2935,63,2.2,6488.1,0.5
37600,Yarrabah (S),2901,2933,32,1.1,158.8,18.5
44830,Mount Remarkable (DC),2908,2913,5,0.2,3422.8,0.9
26080,Queenscliffe (B),2939,3008,69,2.3,8.6,349.1
56790,Northampton (S),2944,2876,-68,-2.3,12543.7,0.2
13850,Hay (A),2948,2943,-5,-0.2,11325.9,0.3
32450,Cloncurry (S),3047,3004,-43,-1.4,47971.3,0.1
17850,Walcha (A),3134,3105,-29,-0.9,6261.0,0.5
74550,Victoria Daly (R),3156,3175,19,0.6,153287.1,0.0
35780,Northern Peninsula Area (R),3164,3224,60,1.9,1052.1,3.1
52590,Dandaragan (S),3268,3315,47,1.4,6711.6,0.5
14950,Lockhart (A),3285,3259,-26,-0.8,2895.8,1.1
55460,Merredin (S),3367,3370,3,0.1,3293.8,1.0
51960,Coolgardie (S),3405,3348,-57,-1.7,30297.7,0.1
41010,Ceduna (DC),3442,3423,-19,-0.6,5420.3,0.6
53920,Halls Creek (S),3454,3495,41,1.2,133061.0,0.0
34710,Longreach (R),3469,3407,-62,-1.8,40572.2,0.1
49399,Unincorporated SA,3514,3453,-61,-1.7,622489.5,0.0
54060,Irwin (S),3567,3594,27,0.8,2369.3,1.5
59370,York (S),3574,3623,49,1.4,2131.6,1.7
18100,Weddin (A),3613,3596,-17,-0.5,3414.9,1.1
74680,West Daly (R),3694,3735,41,1.1,14069.7,0.3
26890,West Wimmera (S),3839,3810,-29,-0.8,9108.2,0.4
36950,Torres (S),3888,3924,36,0.9,883.7,4.4
15560,Murrumbidgee (A),3917,3916,-1,0.0,6880.8,0.6
46970,Roxby Downs (M),3955,3948,-7,-0.2,110.5,35.7
12150,Coonamble (A),3957,3907,-50,-1.3,9916.1,0.4
54340,Katanning (S),4044,4046,2,0.0,1518.2,2.7
65610,West Coast (M),4175,4132,-43,-1.0,9583.5,0.4
42110,Goyder (DC),4190,4170,-20,-0.5,6715.1,0.6
58820,Waroona (S),4211,4267,56,1.3,832.2,5.1
70620,Central Desert (R),4230,4241,11,0.3,281312.0,0.0
12950,Gilgandra (A),4239,4229,-10,-0.2,4831.5,0.9
35600,Murweh (S),4294,4220,-74,-1.7,40699.8,0.1
37300,Weipa (T),4333,4445,112,2.6,10.8,410.7
12000,Coolamon (A),4341,4291,-50,-1.2,2430.9,1.8
30300,Balonne (S),4361,4321,-40,-0.9,31103.7,0.1
58330,Toodyay (S),4458,4461,3,0.1,1691.6,2.6
32500,Cook (S),4548,4595,47,1.0,105718.8,0.0
11750,Cobar (A),4572,4417,-155,-3.4,45575.4,0.1
62410,Glamorgan-Spring Bay (M),4603,4750,147,3.2,2591.6,1.8
45120,Northern Areas (DC),4618,4625,7,0.2,2986.2,1.5
50840,Bridgetown-Greenbushes (S),4740,4756,16,0.3,1337.4,3.6
42750,Kangaroo Island (DC),4983,5021,38,0.8,4400.9,1.1
56460,Narrogin (S),4986,4939,-47,-0.9,1631.3,3.0
36960,Torres Strait Island (R),5105,5178,73,1.4,490.0,10.6
51540,Carnarvon (S),5184,5077,-107,-2.1,46574.6,0.1
57210,Plantagenet (S),5263,5276,13,0.2,4876.7,1.1
53570,Gingin (S),5277,5353,76,1.4,3208.4,1.7
