date_sold,locality,value
2019,Abbotsford,758292
2019,Aberfeldie,1277014
2019,Airport West,744466
2019,Albanvale,498572
2019,Albert Park,2065881
2019,Albion,461770
2019,Alphington,1219413
2019,Altona,836843
2019,Altona Meadows,595759
2019,Altona North,776987
2019,Ardeer,609724
2019,Armadale,1168909
2019,Arthurs Creek,1421667
2019,Arthurs Seat,1023000
2019,Ascot Vale,909704
2019,Ashburton,1552205
2019,Ashwood,1059165
2019,Aspendale,1023578
2019,Aspendale Gardens,863425
2019,Attwood,702426
2019,Avondale Heights,831056
2019,Avonsleigh,666362
2019,Badger Creek,460273
2019,Balaclava,760519
2019,Balnarring,1240150
2019,Balnarring Beach,3640000
2019,Balwyn,1848094
2019,Balwyn North,1803866
2019,Bangholme,437500
2019,Baxter,524258
2019,Bayles,255000
2019,Bayswater,651996
2019,Bayswater North,606079
2019,Beaconsfield,732328
2019,Beaconsfield Upper,1029295
2019,Beaumaris,1484063
2019,Belgrave,645815
2019,Belgrave Heights,734335
2019,Belgrave South,847727
2019,Bellfield,747685
2019,Bend Of Islands,878667
2019,Bentleigh,1124177
2019,Bentleigh East,1083455
2019,Berwick,704282
2019,Big Pats Creek,666500
2019,Bittern,657591
2019,Black Rock,1524329
2019,Blackburn,1089945
2019,Blackburn North,996333
2019,Blackburn South,1065239
2019,Blairgowrie,1052708
2019,Blind Bight,555250
2019,Bonbeach,706176
2019,Boronia,630762
2019,Botanic Ridge,689487
2019,Box Hill,819966
2019,Box Hill North,1104637
2019,Box Hill South,1083658
2019,Braybrook,625470
2019,Briar Hill,775399
2019,Brighton,2198893
2019,Brighton East,1654300
2019,Broadmeadows,476997
2019,Brookfield,464137
2019,Brooklyn,615342
2019,Brunswick,832285
2019,Brunswick East,740997
2019,Brunswick West,748221
2019,Bulla,803333
2019,Bulleen,1141454
2019,Bundoora,676950
2019,Bunyip,551796
2019,Burnley,1257000
2019,Burnside,641045
2019,Burnside Heights,633500
2019,Burwood,1035118
2019,Burwood East,985940
2019,Cairnlea,745550
2019,Caldermeade,500000
2019,Camberwell,1621367
2019,Campbellfield,507069
2019,Cannons Creek,586000
2019,Canterbury,2329844
2019,Cape Schanck,901250
2019,Capel Sound,527482
2019,Cardinia,770000
2019,Carlton,570291
2019,Carlton North,1449723
2019,Carnegie,855077
2019,Caroline Springs,631515
2019,Carrum,728812
2019,Carrum Downs,516883
2019,Catani,498500
2019,Caulfield,1115002
2019,Caulfield East,688795
2019,Caulfield North,1186028
2019,Caulfield South,1245243
2019,Chadstone,943240
2019,Chelsea,773100
2019,Chelsea Heights,706181
2019,Cheltenham,845701
2019,Chirnside Park,744882
2019,Christmas Hills,932842
2019,Chum Creek,636833
2019,Clarinda,808478
2019,Clayton,902616
2019,Clayton South,716396
2019,Clematis,655833
2019,Clifton Hill,1098065
2019,Clyde,545429
2019,Clyde North,588374
2019,Coburg,801622
2019,Coburg North,761529
2019,Cockatoo,632954
2019,Coldstream,686608
2019,Collingwood,774794
2019,Coolaroo,445875
2019,Cora Lynn,870000
